article,pub_date,nltk_score,source,nltk_score_title
"Two Dozen States’ Unemployment Funds in the Red, Nine More Within Six Months",2010/01/19,0.9891,ProPublica,-0.4404
What Is Your Experience With Unemployment Insurance and Unemployment?,2010/01/19,0.875,ProPublica,-0.7003
Payroll Taxes Increase for Many Employers Across the U.S.,2010/01/19,0.9786,ProPublica,0.3182
How We Did the Math on Our Unemployment Insurance Tracker,2010/01/19,0.9998,ProPublica,-0.4404
Our Articles on Wounded Iraq and Afghan Interpreters—Now in Arabic,2010/01/19,-0.9559,ProPublica,0.0
Blinded From a Sniper Bullet and Shortchanged by the System (Arabic),2010/01/19,0.9455,ProPublica,0.0
AIGs Man in Jordan (in Arabic),2010/01/19,0.9455,ProPublica,0.0
"More Lobbying, Less Registration: Influence-Peddling Goes Underground",2010/01/19,0.7943,ProPublica,-0.1513
"Logjam Continues for Loan Mods; Big Banks Fare Poorly, Data Show",2010/01/19,-0.9539,ProPublica,0.0
