article,pub_date,nltk_score,source,nltk_score_title
Third Bank Says It Will Return Bailout Funds…But 487 Banks Keep Theirs,2009/03/11,0.9875,ProPublica,-0.1027
First Stimulus Transparency Docs Arrive Thin on Details,2009/03/11,0.968,ProPublica,0.0
Ads for Shady Stimulus Sites? Et tu Google?,2009/03/11,-0.3041,ProPublica,0.0
Quick Picks: Texas Town Shakedown and More on Murtha’s Earmarks,2009/03/11,0.934,ProPublica,-0.296
Morning Cup of Stimulus: Global Ambitions and Capitol Doubts,2009/03/11,0.9141,ProPublica,-0.296
