article,pub_date,nltk_score,source,nltk_score_title
Loose Reins on Nurses in Drug Abuse Program,2009/07/24,-0.9972,ProPublica,-0.7579
Homeland Security Inspector General Report Echoes ProPublica Investigation,2009/07/24,0.1618,ProPublica,0.34
Why Tracking the Highway Stimulus Jobs Is No Easy Job,2009/07/24,0.6757,ProPublica,0.1779
Tracking Highway Stimulus Jobs Is No Easy Job,2009/07/24,0.9874,ProPublica,0.1779
Education Dept. Threatens to Bar Some States From Extra Stim Dollars,2009/07/24,0.2049,ProPublica,-0.3818
ChangeTracker Wins Innovation Award,2009/07/24,0.9951,ProPublica,0.8689
File As-You-Go,2009/07/24,0.9455,ProPublica,0.0
Fed Unveils New Rules on Mortgage Lending,2009/07/24,0.6326,ProPublica,0.0
