article,pub_date,nltk_score,source,nltk_score_title
La Jornada: El mapa universal profundizará en postulados de Einstein: Smoot,2010-07-07,-0.1027,Jornada,0.0
"La Jornada: Sin uso, 42% de locales en aeropuertos de ASA",2010-07-07,-0.7269,Jornada,0.0
La Jornada: Demanda la diócesis de Cuautitlán a la PGR y PF por allanamiento,2010-07-07,-0.128,Jornada,0.0
La Jornada: La Semarnat rasura la cifra de pérdida de bosques: Greenpeace,2010-07-07,-0.5423,Jornada,-0.3182
La Jornada: Diluyó Álex expectativas para el sorgo,2010-07-07,0.296,Jornada,0.0
La Jornada: Siete de 10 alumnos de secundaria no logran metas del currículum nacional,2010-07-07,-0.25,Jornada,0.0
La Jornada: Nueve vuelos desviados por las lluvias,2010-07-07,-0.296,Jornada,0.0
La Jornada: Censida: 40 mil 500 no tienen garantizado el acceso a terapias,2010-07-07,-0.25,Jornada,0.0
La Jornada: Narro: 22 millones de jóvenes en AL no estudian ni trabajan,2010-07-07,-0.9201,Jornada,0.0
La Jornada: Contamina derrame de petróleo el río Cazones,2010-07-07,0.0,Jornada,0.0
La Jornada: Atacan marinos a civiles en Nayarit,2010-07-07,0.8304,Jornada,-0.4767
La Jornada: Afloran solidaridad y organización de los regios,2010-07-07,0.0,Jornada,0.296
La Jornada: Inundaciones en QR por onda tropical,2010-07-07,0.0,Jornada,0.0
La Jornada: Fuga en el penal de Reynosa,2010-07-07,-0.3182,Jornada,-0.3818
La Jornada: Desfogue de presa obliga a 18 mil a salir del municipio de Anáhuac,2010-07-07,0.743,Jornada,-0.0516
La Jornada: Demandan liberar a 6 acusados de secuestro,2010-07-07,-0.5423,Jornada,-0.4019
La Jornada: Culpan a Conagua por inundaciones en Tultitlán; no terminó obras a tiempo,2010-07-07,-0.6808,Jornada,-0.4019
La Jornada: El Mexibús empezará a funcionar el 15 de julio,2010-07-07,0.0,Jornada,0.0
La Jornada: Designan presidenta municipal en Cancún,2010-07-07,-0.4939,Jornada,0.0
La Jornada: Desalojan a 4 mil en Tamaulipas ante inminente crecida del Bravo,2010-07-07,0.4019,Jornada,0.0
La Jornada: Más de 8 mil viviendas de Coahuila dañadas por los remanentes de Álex,2010-07-07,-0.6124,Jornada,-0.4404
