article,pub_date,nltk_score,source
RIGHTCHANGE.COM INC (527 POLITICAL ORG)

$1.5M



COOPERATIVE OF AMERICAN PHYSICIANS IE COMMITTEE

$1.48M



COMMITTEE TO ELECT AN EFFECTIVE VALLEY CONGRESSMAN

$1.47M



AMERICANS ELECT

$1.43M



PATRIOT PROSPERITY POLITICAL ACTION COMMITTEE

$1.42M



NATIONAL FEDERATION OF INDEPENDENT BUSINESS/ SAVE AMERICAS FREE ENTERPRISE TRUST

$1.41M



CITIZENS FOR A WORKING AMERICA INC.

$1.39M



SENATE CONSERVATIVES ACTION

$1.33M



CITIZENS FOR A WORKING AMERICA PAC

$1.31M



ENVIRONMENT AMERICA ACTION FUND

$1.3M



LOCAL VOICES

$1.27M



AMERICA 360 COMMITTEE

$1.25M



NATIONAL HORIZON

$1.21M



SIERRA CLUB INDEPENDENT ACTION

$1.19M



HARDWORKING AMERICANS COMMITTEE

$1.18M



WORKING AMERICA

$1.18M



MOVEON.ORG POLITICAL ACTION

$1.17M



MONTANA HUNTERS AND ANGLERS LEADERSHIP FUND

$1.16M



RETHINK PAC

(supports Anti-Scott Brown in Massachusetts) $1.16M



AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE

$1.14M



PROSPERITY FIRST INC

$1.12M



AMERICA SHINING

$1.06M



CITIZEN AWARENESS PROJECT INC.

$1M



NEA ADVOCACY FUND

$1M



FREEDOM FUND NORTH AMERICA

$990K



INDEPENDENT WOMEN'S VOICE

$987K



FRIENDS OF THE MAJORITY

$955K



REPUBLICAN UNION PAC

$950K



CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC)

$904K



COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES

$871K



TEXANS FOR AMERICA'S FUTURE

$870K



WORKING FOR US POLITICAL ACTION COMMITTEE INC

$866K



CLUB FOR GROWTH PAC

$864K



LIFE AND LIBERTY PAC INC

$850K



BLACK MEN VOTE

$843K



WOMEN SPEAK OUT PAC

$836K



CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION

$816K



1199 SERVICE EMPLOYEES INT'L UNION FEDERAL POLITICAL ACTION FUND

$809K



HISPANIC LEADERSHIP FUND

$806K



CREDO SUPERPAC

$794K



FAIR SHARE ALLIANCE INC

$720K



UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB

$694K



CENTER FORWARD

$685K



OUR COUNTRY DESERVES BETTER PAC - TEAPARTYEXPRESS.ORG

$681K



LUNCH PAIL REPUBLICANS INDEPENDENT EXPENDITURE ONLY COMMITTEE

$679K



