article,pub_date,nltk_score,source,nltk_score_title
Off the Radar: Private Planes Hidden From Public View,2010/04/08,-0.9733,ProPublica,0.0
Citigroup’s Defense of Its Regulators,2010/04/08,-0.9159,ProPublica,0.128
ProPublica Receives Murrow Award for Media Entrepreneurship,2010/04/08,0.7506,ProPublica,0.5423
"Citi Execs: “Deeply Sorry,” but Don’t Blame Us",2010/04/08,-0.9762,ProPublica,-0.4767
Investigations You Need to Read: Thursday,2010/04/08,0.9455,ProPublica,0.0
The Call Geithner Didn’t Make While His New York Fed Watched Over Citigroup,2010/04/08,-0.738,ProPublica,0.0
Ex-Cop Michael Hunter Pleads Guilty in Danziger Shooting,2010/04/08,-0.9837,ProPublica,-0.4215
